product,narrative,summary
credit_card,purchase order day shipping amount receive product week sent followup email exact verbiage paid two day shipping received order company responded im sorry inform due unusually high order volume order shipped several week stock since early due high demand although continuing take order guaranteeing receive order place due time mask order exact shipping date right however guarantee ship soon soon delivers product u getting small shipment shipping first come first served basis appreciate patience fulfill order quickly recommend keeping order lose place line cancel distributor stock moment prefer cancel please note ask via email cancel accordance cancellation policy agreed checkout electronic inventory online requested order canceled refund issued canceled order sent verification order canceled refunded item particulate respirator refunded subtotal shipping tax total usd visa ending refund called disputed amount stated nothing needed submitted address issue recharged item removing called back dispute amount transaction rebillmerchandiserobert ca purchased thu posted wed purchased appears statement transaction rebill ca u followed see status case submitted documentation showing canceled order supposed submit refund called back speak manager case stated dispute ruled favor charge removed card capital one removed purchase bill purchase adjustmentmerchandiserobert j posted fri purchased appears statement purchase adjustment capital one recharges amount transaction rebillmerchandiserobert j purchased thu posted mon purchased appears statement transaction rebill called capital one requested recharge stated visa ruled case pretended remove purchase knew anything case manager ruling favor,"The customer made a purchase order with an agreement for two-day shipping but didn't receive the product due to high demand and delayed shipment. The company informed the customer about the delay, suggesting to keep the order or cancel it. The customer wanted to cancel it and followed the company's policy by requesting the cancellation via email. After the order was canceled, the company verified the cancellation and issued a refund. However, the customer noted a discrepancy in refund claiming they were () charged for the canceled product. Though they disputed the issue, it was initially ruled in the company's favor. Capital One removed the mention of the purchase from the bill, but it reappeared later. The customer is now in a dispute over the recharged amount and is waiting for the final ruling on the case."
credit_card,forwarded message date tue subject please investigate comenity bank retailer card scam sent hello name scammed comenity bank credit card provider company childrens place new york forever victoria secret original credit comenity bank lower limit began charge overage fee along late fee began pay close attention card find limit also changed well incurring overage late fee reached company comenity bank stated would change credit limit original limit reached told summit payment account corrected comenity bank credit card impacted credit score plummeted negative status im currently paying price due corruption affected detrimental way debt due company charging overage fee well late fee even initial credit limit fluctuating tremendously company charge major fee account willing correct account nervous said attorney reason im reaching im employee company ruining credit plz help name contact info thank,"The sender of the email believes they have been scammed by Comenity Bank, a credit card provider company for retailers like Children's Place, New York Forever, and Victoria Secret. They noticed that their original credit limit was lowered, leading to overage and late fees. Upon contacting Comenity Bank, they were told the credit limit could return to its original limit, but only once payment for the account's fees was settled. This experience has negatively affected the sender's credit score. The sender is seeking help due to the described corruption concerning the fluctuating credit limit and major fees tied to their account that the bank is not willing to correct."
retail_banking,forwarded message cc sent friday pdt subject final legal payment well fargo well fargo clearly wrong need look actually opened account see court hearing several different government agency reporting well including branch put open account numerous fraudulent charge debit card connected account clearly due fact well fargo maintain clearly required encryption card keep secure adding damage request small claim lawsuit time take away running business branch required come branch multiple time get fraudulent charge removed actually present strong case proper consumer protection agency well fargo immediately barred issuing account debit card insure agency card adequate prevent fraudulent use also requesting punitive treble damage sum hour take work handle lawsuit along legal cost filing lawsuit county small claim court today well fargo outrageous fraudulent conduct clearly warrant punitive damage also sharing every possible consumer protection agency find would think well fargo enough adverse publicity fraudulent conduct last year introduce small claim suit clearly establishing well fargo established business practice fraud customer ca judge really need reminded might want immediately run bonus payment legal department,"The sender of the email alleges that Wells Fargo has erroneously opened an account in their name, leading to numerous fraudulent charges on their debit card. The person attributes this to Wells Fargo's failure to maintain required encryption security for their card. They claim that handling these issues has taken time away from their business and required multiple branch visits. As a result, they are filing a small claims lawsuit against Wells Fargo, seeking damages for the time taken off work to handle the lawsuit, legal costs, and punitive damages for alleged fraudulent conduct. They intend to report the situation to consumer protection agencies and request that Wells Fargo be banned immediately from issuing accounts or debit cards until they can ensure adequate fraud prevention measures are in place."
credit_reporting,payment history missing credit report specialized loan servicing sl made mistake put account forbearance without authorization knowledge matter fact automatic payment setup month monthly mortgage paid full noticed issue account marked forbearance credit report tried get new home loan another new bank contacted immediately asked fix error provide letter detail please see asks forbearance issue seemed fixed however credit report payment history missing new bank able approve new loan issue missing payment history contacted specialized loan servicing time since phone ask sl thing report payment history fix missing data issue provide letter show account never forbearance payment history past month however waiting week countless email phone call talk multiple supervisor able get either one thing without issue fixed new bank process new loan application therefore need sl help immediately get fixed,The credit report from Specialized Loan Servicing (SLS) is missing a payment history due to an error put on the account for forbearance without the client's authorization or knowledge. This is affecting the client's ability to obtain a new home loan with another bank. The client is requesting the SLS fix the payment history and provide a letter that states the account was never in forbearance. The error needs to be resolved immediately as it is causing a delay in processing a new loan application with a new bank.
credit_reporting,payment history missing credit report made mistake put account forbearance without authorization knowledge matter fact automatic payment setup month monthly mortgage paid full noticed issue account marked forbearance credit report tried get new home loan another new bank contacted immediately asked fix error provide letter detail please see asks forbearance issue seemed fixed however credit report payment history missing new bank able approve new loan issue missing payment history contacted time since phone ask thing report payment history transunion fix missing data issue provide letter show account never forbearance payment history past month however waiting week countless email phone call talk multiple supervisor able get either one thing without issue fixed new bank process new loan application therefore need help immediately get fixed,"The text concerns a person who found an unauthorized forbearance marked on their credit report, even though they had set up automatic monthly payments for their mortgage. This error resulted in their payment history missing from the report, causing issues when they tried to apply for a new home loan with another bank. Despite contacting the responsible parties multiple times and asking them to fix this error, the issue has not been resolved. The person is now seeking help in getting this problem fixed immediately so they can proceed with the new loan application."
credit_reporting,payment history missing credit report made mistake put account forbearance without authorization knowledge matter fact automatic payment setup month monthly mortgage paid full noticed issue account marked forbearance credit report tried get new home loan another new bank contacted immediately asked fix error provide letter detail please see asks forbearance issue seemed fixed however credit report payment history missing new bank able approve new loan issue missing payment history contacted time since phone ask thing report payment history experian fix missing data issue provide letter show account never forbearance payment history past month however waiting week countless email phone call talk multiple supervisor able get either one thing without issue fixed new bank process new loan application therefore need help immediately get fixed,"The client's payment history is missing from their credit report due to an error where their account was wrongly marked as being in forbearance without their consent or knowledge. This has created problems for them while trying to secure a new home loan with another bank. Despite contacting multiple supervisors and waiting for weeks, the issue has not been resolved. The client urgently needs this issue to be fixed so they can proceed with their loan application."
credit_reporting,va date complaint experian credit bureau involved decision maker stop cease retaliation discrimination abuse american taxpayer today experian blocked accessing free annual credit report adding restrictive discriminatory condition specifically many proof support fact subjected retaliatory adverse action experian credit bureau allowing participating causing damage financial reputation experian causing severe emotional distress experian impeded ability review credit report therefore anything negative report damage caused full legal responsibility liability experian excuse justify restriction website called condition experian put place experian experian involved decision maker must stop retaliation must pay huge legal consequence illegal act american taxpayer cfpb shall investigate experian unlawful practice reported cfpb several time past year reference experian credit report one previous year year several incorrect information experian insisted keep file within credit bureau named experian experian intent damage financial reputation fact proven fact damage already experian caused mu person please note experian response legal complaint used experian involved decision maker time court law stated herein current state belief knowledge understanding subject correction change kind time legal representative without waiving right circumstance digitally signed filed today within cfpb,"The complaint is against Experian Credit Bureau. The complainant claims that Experian has blocked their access to their free annual credit report by adding restrictive and discriminatory conditions. The complainant believes they have been subjected to retaliatory actions by Experian, damaging their financial reputation and causing emotional distress. The complainant insists on their full legal rights to review their credit report, and will hold Experian legally responsible for any damage caused by negative entries in their report. Furthermore, they accused Experian of insisting on keeping incorrect information on their file aiming to damage their financial reputation. The complainant demands that Experian stop these alleged practices, threatening legal action and heavy penalties. The complainant has previously reported Experian's alleged misconduct to the CFPB. The complaint has been currently filed with the CFPB."
credit_reporting,account reported abbreviated name full name servicer account transunion reporting date last payment reporting payment due account time however date inconsistent however transunion reporting date last active show show none date match activity payment made three bureau reporting high credit balance show transunion show amount violation failed addressed repeatedly amount match information reported percent accurately according law transunion repeatedly failed report account dispute removed account dispute comment company reporting account top invalid account number also listed authorized user considered account removed another account reporting listed authorized user considered account reporting high credit limit credit limit left transunion reporting high credit amount credit limit transunion reporting date last active reporting date supposed match since supposed receive exact information company date last payment transunion show date last active also show date last active date last payment show date last active date last payment none date company match reported accurately still also making payment account since paid far two year payment history even reflect none bureau reporting information verified account still reporting wrong making payment ever since company show payment history co however show making payment since reporting wrong show date last active transunion making payment account since however transunion reporting date last payment show last reported date show transunion show information inaccurate reported inconsistently three bureau verify information correct attached evidence refuse change company obligated fcra report information totally accurate severely affecting credit score equifax also reporting credit limit transunion reporting reporting high credit transunion showing three bureau reporting past due balance violation still corrected showing past due amount transunion show account already carrying balance reflect past due amount violation company refusing proper investigation error even asked method verification provide information requested allowed law request,"The text highlights a complaint against TransUnion for incorrectly reporting several aspects related to a person's credit history. Issues include inconsistency in reporting dates and accounts, non-matching payment and account activity dates, wrongly conferring the status of an authorized user, an inaccurate high credit balance and limit, and reporting a past due balance. These errors, which are also reported by Equifax, are negatively impacting the individual's credit score and TransUnion has repeatedly failed to correct them despite enquiries and dispute attempts. The complainant accuses TransUnion of refusing to perform a proper investigation and not providing the requested information as allowed by law."
credit_reporting,account reported abbreviated name full name servicer account experian reporting date last payment reporting payment due account time however date inconsistent however reporting date last active experian show show none date match activity payment made three bureau reporting high credit balance show experian show amount violation failed addressed repeatedly amount match information reported percent accurately according law repeatedly failed report account dispute removed account dispute comment company reporting account top invalid account number also listed authorized user considered account removed another account reporting experian listed authorized user considered account reporting high credit limit credit limit left experian reporting high credit amount credit limit reporting date last active experian reporting date supposed match since supposed receive exact information company date last payment transunion show date last active experian also show date last active date last payment show date last active date last payment none date company match reported accurately still also making payment account since paid far two year payment history even reflect none bureau reporting information verified account still reporting wrong making payment ever since company experian show payment history co however show making payment since experian reporting wrong experian show date last active making payment account since however reporting date last payment experian show last reported date experian show show information inaccurate reported inconsistently three bureau verify information correct attached evidence refuse change company obligated fcra report information totally accurate severely affecting credit score also reporting credit limit experian reporting experian reporting high credit transunion showing three bureau reporting past due balance violation still corrected experian showing past due amount show account already carrying balance reflect past due amount violation company refusing proper investigation error even asked method verification provide information requested allowed law request,"The account holder is disputing inconsistencies in their credit report provided by Experian. Discrepancies include variations in reporting dates, full name, account status, high credit balance, account numbers, and authorized user status among others, compared to the data from other credit bureaus. The account holder claims they are up to date with their payments, which is not accurately reflected in the Experian report. Despite several attempts to have this corrected, the company has allegedly failed to rectify these errors. The account holder asserts this incorrect reporting is negatively impacting their credit score, potentially violating Fair Credit Reporting Act (FCRA) regulations. They have asked for a verification method and claim their requests for accurate reporting have been ignored."
credit_reporting,usdoexxxx account reported abbreviated name full name servicer account reporting date last payment equifax reporting payment due account time however date inconsistent however reporting date last active show equifax show none date match activity payment made three bureau reporting high credit balance show equifax show amount violation failed addressed repeatedly amount match information reported percent accurately according law repeatedly failed report account dispute equifax removed account dispute comment equifax company reporting account top invalid account number also listed authorized user considered account removed another account reporting listed authorized user considered account equifax reporting high credit limit credit limit left reporting high credit amount credit limit reporting date last active reporting equifax date supposed match since supposed receive exact information company date last payment show date last active also show date last active date last payment equifax show date last active date last payment none date company match reported accurately still also making payment account since paid far two year payment history even reflect none bureau reporting information verified account still reporting wrong making payment ever since company show payment history co however equifax show making payment since reporting wrong show date last active equifax making payment account since however reporting date last payment equifax equifax show last reported date show show information inaccurate reported inconsistently three bureau verify information correct attached evidence refuse change company obligated fcra report information totally accurate severely affecting credit score equifax also reporting credit limit reporting reporting high credit equifax showing three bureau reporting past due balance violation still corrected showing past due amount equifax show account already carrying balance reflect past due amount violation company refusing proper investigation error even asked method verification provide information requested allowed law request,"The input is a series of complaints about inconsistencies and inaccuracies in a credit report by an unnamed individual. This individual points out that various details reported to Equifax by 'usdoexxxx' about their account, such as payment dates, credit limits, and outstanding balances, do not match up with their own records or those reported by other agencies. Moreover, the credit company seemingly failed to correct these errors despite multiple requests and never properly explained their method of verification. Due to these unaddressed inaccuracies, the individual's credit score has been negatively affected."
